#K-Path      Energy-Level
# NKPTS & NBANDS:  12 136
# Band-Index    1
   0.00000    -21.726568
   0.09309    -21.702848
   0.18619    -21.632496
   0.27928    -21.534124
   0.27928    -21.534124
   0.35990    -21.516523
   0.44052    -21.475456
   0.44052    -21.475456
   0.52114    -21.569085
   0.60176    -21.655725
   0.68239    -21.708742
   0.76301    -21.726568
 
 
# Band-Index    2
   0.76301    -21.103929
   0.68239    -21.157737
   0.60176    -21.259950
   0.52114    -21.370136
   0.44052    -21.432961
   0.44052    -21.432961
   0.35990    -21.479845
   0.27928    -21.495837
   0.27928    -21.495837
   0.18619    -21.357810
   0.09309    -21.187255
   0.00000    -21.103929
 
 
# Band-Index    3
   0.00000    -21.103436
   0.09309    -21.134688
   0.18619    -21.178682
   0.27928    -21.196002
   0.27928    -21.196002
   0.35990    -21.302580
   0.44052    -21.432469
   0.44052    -21.432469
   0.52114    -21.357357
   0.60176    -21.254579
   0.68239    -21.141373
   0.76301    -21.103436
 
 
# Band-Index    4
   0.76301    -20.817446
   0.68239    -20.937877
   0.60176    -20.944122
   0.52114    -20.897774
   0.44052    -20.863088
   0.44052    -20.863088
   0.35990    -20.925209
   0.27928    -21.022825
   0.27928    -21.022825
   0.18619    -21.008110
   0.09309    -20.956239
   0.00000    -20.817446
 
 
# Band-Index    5
   0.00000    -20.791233
   0.09309    -20.720684
   0.18619    -20.568065
   0.27928    -20.454006
   0.27928    -20.454006
   0.35990    -20.465898
   0.44052    -20.400844
   0.44052    -20.400844
   0.52114    -20.530756
   0.60176    -20.644269
   0.68239    -20.741486
   0.76301    -20.791233
 
 
# Band-Index    6
   0.76301    -20.790867
   0.68239    -20.584639
   0.60176    -20.326517
   0.52114    -20.222374
   0.44052    -20.400191
   0.44052    -20.400191
   0.35990    -20.255783
   0.27928    -20.153700
   0.27928    -20.153700
   0.18619    -20.260772
   0.09309    -20.549666
   0.00000    -20.790867
 
 
# Band-Index    7
   0.00000    -20.231369
   0.09309    -20.163098
   0.18619    -20.023668
