#K-Path      Energy-Level
# NKPTS & NBANDS: 120 136
# Band-Index    1
   0.00000    -23.559779
   0.00716    -23.559775
   0.01432    -23.559774
   0.02148    -23.559775
   0.02864    -23.559773
   0.03581    -23.559771
   0.04297    -23.559768
   0.05013    -23.559766
   0.05729    -23.559765
   0.06445    -23.559763
   0.07161    -23.559757
   0.07877    -23.559752
   0.08593    -23.559750
   0.09309    -23.559748
   0.10025    -23.559742
   0.10742    -23.559739
   0.11458    -23.559734
   0.12174    -23.559728
   0.12890    -23.559722
   0.13606    -23.559716
   0.14322    -23.559709
   0.15038    -23.559701
   0.15754    -23.559695
   0.16470    -23.559690
   0.17186    -23.559683
   0.17903    -23.559679
   0.18619    -23.559673
   0.19335    -23.559668
   0.20051    -23.559665
   0.20767    -23.559660
   0.21483    -23.559656
   0.22199    -23.559652
   0.22915    -23.559650
   0.23631    -23.559651
   0.24348    -23.559647
   0.25064    -23.559645
   0.25780    -23.559646
   0.26496    -23.559642
   0.27212    -23.559642
   0.27928    -23.559645
   0.27928    -23.559645
   0.28341    -23.559640
   0.28755    -23.559640
   0.29168    -23.559639
   0.29582    -23.559636
   0.29995    -23.559635
   0.30409    -23.559633
   0.30822    -23.559629
   0.31236    -23.559624
   0.31649    -23.559619
   0.32062    -23.559618
   0.32476    -23.559612
   0.32889    -23.559607
   0.33303    -23.559602
   0.33716    -23.559596
   0.34130    -23.559591
   0.34543    -23.559584
   0.34957    -23.559577
   0.35370    -23.559568
   0.35783    -23.559564
   0.36197    -23.559556
   0.36610    -23.559548
   0.37024    -23.559539
   0.37437    -23.559533
   0.37851    -23.559527
   0.38264    -23.559519
   0.38678    -23.559509
   0.39091    -23.559503
   0.39504    -23.559494
   0.39918    -23.559484
   0.40331    -23.559476
   0.40745    -23.559468
   0.41158    -23.559458
   0.41572    -23.559451
   0.41985    -23.559441
   0.42398    -23.559433
   0.42812    -23.559424
   0.43225    -23.559418
   0.43639    -23.559410
   0.44052    -23.559404
   0.44052    -23.559404
   0.44879    -23.559407
   0.45706    -23.559409
   0.46533    -23.559417
   0.47360    -23.559422
   0.48187    -23.559429
   0.49014    -23.559439
   0.49840    -23.559447
   0.50667    -23.559458
   0.51494    -23.559466
   0.52321    -23.559475
   0.53148    -23.559483
   0.53975    -23.559495
   0.54802    -23.559505
   0.55629    -23.559517
   0.56455    -23.559530
   0.57282    -23.559545
   0.58109    -23.559558
   0.58936    -23.559570
   0.59763    -23.559587
   0.60590    -23.559601
   0.61417    -23.559616
   0.62244    -23.559632
   0.63071    -23.559644
   0.63897    -23.559656
   0.64724    -23.559669
   0.65551    -23.559684
   0.66378    -23.559692
   0.67205    -23.559705
   0.68032    -23.559715
   0.68859    -23.559725
   0.69686    -23.559736
   0.70513    -23.559744
   0.71339    -23.559752
   0.72166    -23.559759
   0.72993    -23.559765
   0.73820    -23.559770
   0.74647    -23.559773
   0.75474    -23.559774
   0.76301    -23.559779
 
 
# Band-Index    2
   0.76301    -23.532141
   0.75474    -23.532141
   0.74647    -23.532143
   0.73820    -23.532144
   0.72993    -23.532146
   0.72166    -23.532146
   0.71339    -23.532148
   0.70513    -23.532151
   0.69686    -23.532152
   0.68859    -23.532154
   0.68032    -23.532156
   0.67205    -23.532162
   0.66378    -23.532166
   0.65551    -23.532171
   0.64724    -23.532174
   0.63897    -23.532179
   0.63071    -23.532186
   0.62244    -23.532192
   0.61417    -23.532197
   0.60590    -23.532204
   0.59763    -23.532209
   0.58936    -23.532215
   0.58109    -23.532222
   0.57282    -23.532230
   0.56455    -23.532238
   0.55629    -23.532243
   0.54802    -23.532253
   0.53975    -23.532262
   0.53148    -23.532269
   0.52321    -23.532281
   0.51494    -23.532293
   0.50667    -23.532302
   0.49840    -23.532314
   0.49014    -23.532327
   0.48187    -23.532338
   0.47360    -23.532349
   0.46533    -23.532361
   0.45706    -23.532370
   0.44879    -23.532384
   0.44052    -23.532396
   0.44052    -23.532396
   0.43639    -23.532386
   0.43225    -23.532377
   0.42812    -23.532366
   0.42398    -23.532356
   0.41985    -23.532346
   0.41572    -23.532339
   0.41158    -23.532327
   0.40745    -23.532317
   0.40331    -23.532306
   0.39918    -23.532294
   0.39504    -23.532283
   0.39091    -23.532273
   0.38678    -23.532262
   0.38264    -23.532252
   0.37851    -23.532242
   0.37437    -23.532231
   0.37024    -23.532220
   0.36610    -23.532210
   0.36197    -23.532201
   0.35783    -23.532193
   0.35370    -23.532184
   0.34957    -23.532177
   0.34543    -23.532171
   0.34130    -23.532163
   0.33716    -23.532155
   0.33303    -23.532148
   0.32889    -23.532141
   0.32476    -23.532134
   0.32062    -23.532129
   0.31649    -23.532123
   0.31236    -23.532119
   0.30822    -23.532115
   0.30409    -23.532112
   0.29995    -23.532108
   0.29582    -23.532105
   0.29168    -23.532104
   0.28755    -23.532103
   0.28341    -23.532104
   0.27928    -23.532107
   0.27928    -23.532107
   0.27212    -23.532104
   0.26496    -23.532102
   0.25780    -23.532103
   0.25064    -23.532102
   0.24348    -23.532104
   0.23631    -23.532105
   0.22915    -23.532106
   0.22199    -23.532106
   0.21483    -23.532107
   0.20767    -23.532110
   0.20051    -23.532113
   0.19335    -23.532115
   0.18619    -23.532117
   0.17903    -23.532119
   0.17186    -23.532122
   0.16470    -23.532124
   0.15754    -23.532125
   0.15038    -23.532125
   0.14322    -23.532126
   0.13606    -23.532131
   0.12890    -23.532132
   0.12174    -23.532132
   0.11458    -23.532136
   0.10742    -23.532137
   0.10025    -23.532139
   0.09309    -23.532139
   0.08593    -23.532140
   0.07877    -23.532137
   0.07161    -23.532140
   0.06445    -23.532141
   0.05729    -23.532141
   0.05013    -23.532142
   0.04297    -23.532144
   0.03581    -23.532143
   0.02864    -23.532143
   0.02148    -23.532142
   0.01432    -23.532141
   0.00716    -23.532139
   0.00000    -23.532141
 
 
# Band-Index    3
   0.00000    -22.597488
   0.00716    -22.597487
   0.01432    -22.597493
   0.02148    -22.597503
   0.02864    -22.597516
   0.03581    -22.597532
   0.04297    -22.597550
   0.05013    -22.597574
   0.05729    -22.597604
   0.06445    -22.597634
   0.07161    -22.597663
   0.07877    -22.597696
   0.08593    -22.597734
   0.09309    -22.597774
   0.10025    -22.597816
   0.10742    -22.597857
   0.11458    -22.597902
   0.12174    -22.597944
   0.12890    -22.597990
   0.13606    -22.598034
   0.14322    -22.598079
   0.15038    -22.598125
   0.15754    -22.598171
   0.16470    -22.598212
   0.17186    -22.598257
   0.17903    -22.598299
   0.18619    -22.598340
   0.19335    -22.598379
   0.20051    -22.598415
   0.20767    -22.598445
   0.21483    -22.598475
   0.22199    -22.598503
   0.22915    -22.598530
   0.23631    -22.598553
   0.24348    -22.598570
   0.25064    -22.598586
   0.25780    -22.598599
   0.26496    -22.598607
   0.27212    -22.598612
   0.27928    -22.598616
   0.27928    -22.598616
   0.28341    -22.598612
   0.28755    -22.598611
   0.29168    -22.598610
   0.29582    -22.598607
   0.29995    -22.598606
   0.30409    -22.598603
   0.30822    -22.598601
   0.31236    -22.598599
   0.31649    -22.598594
   0.32062    -22.598593
   0.32476    -22.598587
   0.32889    -22.598580
   0.33303    -22.598576
   0.33716    -22.598570
   0.34130    -22.598566
   0.34543    -22.598556
   0.34957    -22.598548
   0.35370    -22.598541
   0.35783    -22.598532
   0.36197    -22.598522
   0.36610    -22.598511
   0.37024    -22.598502
   0.37437    -22.598495
   0.37851    -22.598486
   0.38264    -22.598475
   0.38678    -22.598462
   0.39091    -22.598452
   0.39504    -22.598442
   0.39918    -22.598429
   0.40331    -22.598417
   0.40745    -22.598404
   0.41158    -22.598391
   0.41572    -22.598380
   0.41985    -22.598365
   0.42398    -22.598354
   0.42812    -22.598341
   0.43225    -22.598329
   0.43639    -22.598315
   0.44052    -22.598303
   0.44052    -22.598303
   0.44879    -22.598352
   0.45706    -22.598396
   0.46533    -22.598442
   0.47360    -22.598479
   0.48187    -22.598515
   0.49014    -22.598543
   0.49840    -22.598562
   0.50667    -22.598578
   0.51494    -22.598587
   0.52321    -22.598587
   0.53148    -22.598579
   0.53975    -22.598570
   0.54802    -22.598553
   0.55629    -22.598531
   0.56455    -22.598504
   0.57282    -22.598472
   0.58109    -22.598432
   0.58936    -22.598390
   0.59763    -22.598344
   0.60590    -22.598293
   0.61417    -22.598240
   0.62244    -22.598184
   0.63071    -22.598124
   0.63897    -22.598066
   0.64724    -22.598007
   0.65551    -22.597948
   0.66378    -22.597888
   0.67205    -22.597833
   0.68032    -22.597778
   0.68859    -22.597730
   0.69686    -22.597681
   0.70513    -22.597638
   0.71339    -22.597598
   0.72166    -22.597566
   0.72993    -22.597539
   0.73820    -22.597516
   0.74647    -22.597498
   0.75474    -22.597488
   0.76301    -22.597488
 
 
# Band-Index    4
   0.76301    -21.140004
   0.75474    -21.140013
   0.74647    -21.140042
   0.73820    -21.140092
   0.72993    -21.140159
   0.72166    -21.140244
   0.71339    -21.140346
   0.70513    -21.140465
   0.69686    -21.140597
   0.68859    -21.140741
   0.68032    -21.140897
   0.67205    -21.141063
   0.66378    -21.141234
   0.65551    -21.141414
   0.64724    -21.141594
   0.63897    -21.141775
   0.63071    -21.141958
   0.62244    -21.142139
   0.61417    -21.142311
   0.60590    -21.142476
   0.59763    -21.142633
   0.58936    -21.142777
   0.58109    -21.142911
   0.57282    -21.143032
   0.56455    -21.143136
   0.55629    -21.143224
   0.54802    -21.143295
   0.53975    -21.143349
   0.53148    -21.143381
   0.52321    -21.143400
   0.51494    -21.143397
   0.50667    -21.143373
   0.49840    -21.143329
   0.49014    -21.143270
   0.48187    -21.143190
   0.47360    -21.143095
   0.46533    -21.142985
   0.45706    -21.142856
   0.44879    -21.142720
   0.44052    -21.142571
   0.44052    -21.142571
   0.43639    -21.142611
   0.43225    -21.142651
   0.42812    -21.142689
   0.42398    -21.142728
   0.41985    -21.142765
   0.41572    -21.142805
   0.41158    -21.142839
   0.40745    -21.142875
   0.40331    -21.142908
   0.39918    -21.142941
   0.39504    -21.142975
   0.39091    -21.143007
   0.38678    -21.143037
   0.38264    -21.143068
   0.37851    -21.143096
   0.37437    -21.143123
   0.37024    -21.143147
   0.36610    -21.143174
   0.36197    -21.143199
   0.35783    -21.143223
   0.35370    -21.143244
   0.34957    -21.143267
   0.34543    -21.143288
   0.34130    -21.143308
   0.33716    -21.143325
   0.33303    -21.143340
   0.32889    -21.143356
   0.32476    -21.143370
   0.32062    -21.143384
   0.31649    -21.143394
   0.31236    -21.143405
   0.30822    -21.143415
   0.30409    -21.143422
   0.29995    -21.143430
   0.29582    -21.143435
   0.29168    -21.143440
   0.28755    -21.143444
   0.28341    -21.143446
   0.27928    -21.143448
   0.27928    -21.143448
   0.27212    -21.143441
   0.26496    -21.143425
   0.25780    -21.143399
   0.25064    -21.143359
   0.24348    -21.143310
   0.23631    -21.143252
   0.22915    -21.143182
   0.22199    -21.143104
   0.21483    -21.143016
   0.20767    -21.142922
   0.20051    -21.142819
   0.19335    -21.142710
   0.18619    -21.142595
   0.17903    -21.142474
   0.17186    -21.142347
   0.16470    -21.142217
   0.15754    -21.142083
   0.15038    -21.141945
   0.14322    -21.141810
   0.13606    -21.141674
   0.12890    -21.141537
   0.12174    -21.141399
   0.11458    -21.141265
   0.10742    -21.141131
   0.10025    -21.141003
   0.09309    -21.140880
   0.08593    -21.140761
   0.07877    -21.140646
   0.07161    -21.140542
   0.06445    -21.140444
   0.05729    -21.140354
   0.05013    -21.140275
   0.04297    -21.140205
   0.03581    -21.140144
   0.02864    -21.140094
   0.02148    -21.140055
   0.01432    -21.140026
   0.00716    -21.140008
   0.00000    -21.140004
 
 
# Band-Index    5
   0.00000    -20.853829
   0.00716    -20.853807
   0.01432    -20.853746
   0.02148    -20.853646
   0.02864    -20.853506
   0.03581    -20.853327
   0.04297    -20.853109
   0.05013    -20.852857
   0.05729    -20.852572
   0.06445    -20.852253
   0.07161    -20.851900
   0.07877    -20.851519
   0.08593    -20.851115
   0.09309    -20.850687
   0.10025    -20.850237
   0.10742    -20.849766
   0.11458    -20.849284
   0.12174    -20.848785
   0.12890    -20.848282
   0.13606    -20.847773
   0.14322    -20.847258
   0.15038    -20.846745
   0.15754    -20.846238
   0.16470    -20.845737
   0.17186    -20.845249
   0.17903    -20.844772
   0.18619    -20.844316
   0.19335    -20.843877
   0.20051    -20.843461
   0.20767    -20.843071
   0.21483    -20.842711
   0.22199    -20.842384
   0.22915    -20.842090
   0.23631    -20.841829
   0.24348    -20.841603
   0.25064    -20.841417
   0.25780    -20.841273
   0.26496    -20.841166
   0.27212    -20.841104
   0.27928    -20.841086
   0.27928    -20.841086
   0.28341    -20.841085
   0.28755    -20.841092
   0.29168    -20.841103
   0.29582    -20.841120
   0.29995    -20.841142
   0.30409    -20.841168
   0.30822    -20.841198
   0.31236    -20.841236
   0.31649    -20.841275
   0.32062    -20.841323
   0.32476    -20.841371
   0.32889    -20.841424
   0.33303    -20.841483
   0.33716    -20.841546
   0.34130    -20.841613
   0.34543    -20.841683
   0.34957    -20.841759
   0.35370    -20.841839
   0.35783    -20.841923
   0.36197    -20.842011
   0.36610    -20.842102
   0.37024    -20.842199
   0.37437    -20.842302
   0.37851    -20.842408
   0.38264    -20.842517
   0.38678    -20.842628
   0.39091    -20.842744
   0.39504    -20.842862
   0.39918    -20.842982
   0.40331    -20.843108
   0.40745    -20.843236
   0.41158    -20.843366
   0.41572    -20.843501
   0.41985    -20.843638
   0.42398    -20.843780
   0.42812    -20.843922
   0.43225    -20.844070
   0.43639    -20.844217
   0.44052    -20.844369
   0.44052    -20.844369
   0.44879    -20.843792
   0.45706    -20.843258
   0.46533    -20.842778
   0.47360    -20.842351
   0.48187    -20.841988
   0.49014    -20.841687
