      #Energy        TDOS
     -25.14580       0.00000
     -25.11080       0.00000
     -25.07580       0.00000
     -25.04080       0.00000
     -25.00580       0.00000
     -24.97080       0.00000
     -24.93580       0.00000
     -24.90080       0.00000
     -24.86580       0.00000
     -24.83080       0.00000
     -24.79680       0.00000
     -24.76180       0.00000
     -24.72680       0.00000
     -24.69180       0.00000
     -24.65680       0.00000
     -24.62180       0.00000
     -24.58680       0.00000
     -24.55180       0.00000
     -24.51680       0.00000
     -24.48180       0.00000
     -24.44680       0.00000
     -24.41180       0.00000
     -24.37680       0.00000
     -24.34280       0.00000
     -24.30780       0.00000
     -24.27280       0.00000
     -24.23780       0.00000
     -24.20280       0.00000
     -24.16780       0.00000
     -24.13280       0.00000
     -24.09780       0.00000
     -24.06280       0.00000
     -24.02780       0.00000
     -23.99280       0.00000
     -23.95780       0.00000
     -23.92280       0.00000
     -23.88880       0.00000
     -23.85380       0.00000
     -23.81880       0.00000
     -23.78380       0.00000
     -23.74880       0.00000
     -23.71380       0.00038
     -23.67880       0.02196
     -23.64380       0.51310
     -23.60880       4.97500
     -23.57380      20.81000
     -23.53880      39.02000
     -23.50380      33.57000
     -23.46880      13.18000
     -23.43480       2.28600
     -23.39980       0.16840
     -23.36480       0.00509
     -23.32980       0.00006
     -23.29480       0.00000
     -23.25980       0.00000
     -23.22480       0.00000
     -23.18980       0.00000
     -23.15480       0.00000
     -23.11980       0.00000
     -23.08480       0.00000
     -23.04980       0.00000
     -23.01580       0.00000
     -22.98080       0.00000
     -22.94580       0.00000
     -22.91080       0.00000
     -22.87580       0.00000
     -22.84080       0.00000
     -22.80580       0.00000
     -22.77080       0.00003
     -22.73580       0.00279
     -22.70080       0.10170
     -22.66580       1.46900
     -22.63080       8.49400
     -22.59580      19.85000
     -22.56180      18.86000
     -22.52680       7.28300
     -22.49180       1.13600
     -22.45680       0.07081
     -22.42180       0.00175
     -22.38680       0.00002
     -22.35180       0.00000
     -22.31680       0.00000
     -22.28180       0.00000
     -22.24680       0.00000
     -22.21180       0.00000
     -22.17680       0.00000
     -22.14180       0.00000
     -22.10780       0.00000
     -22.07280       0.00000
     -22.03780       0.00000
     -22.00280       0.00000
     -21.96780       0.00000
     -21.93280       0.00000
     -21.89780       0.00000
     -21.86280       0.00000
     -21.82780       0.00000
     -21.79280       0.00000
     -21.75780       0.00000
     -21.72280       0.00000
     -21.68780       0.00000
     -21.65380       0.00000
     -21.61880       0.00000
     -21.58380       0.00000
     -21.54880       0.00000
     -21.51380       0.00000
     -21.47880       0.00000
     -21.44380       0.00000
     -21.40880       0.00000
     -21.37380       0.00000
     -21.33880       0.00000
     -21.30380       0.00014
     -21.26880       0.00942
     -21.23380       0.25710
     -21.19980       2.78900
     -21.16480      12.16000
     -21.12980      21.50000
     -21.09480      15.47000
     -21.05980       4.52400
     -21.02480       0.53310
     -20.98980       0.02648
     -20.95480       0.05954
     -20.91980       0.97620
     -20.88480       6.54600
     -20.84980      17.97000
     -20.81480      20.32000
     -20.78080       9.45500
     -20.74580       1.79900
     -20.71080       0.13860
     -20.67580       0.00427
     -20.64080       0.00005
     -20.60580       0.00000
     -20.57080       0.00000
     -20.53580       0.00000
     -20.50080       0.00000
     -20.46580       0.00000
     -20.43080       0.00000
     -20.39580       0.00000
