      #Energy        TDOS
     -22.88134       0.00000
     -22.85034       0.00000
     -22.81834       0.00000
     -22.78734       0.00000
     -22.75534       0.00000
     -22.72434       0.00000
     -22.69234       0.00000
     -22.66134       0.00000
     -22.62934       0.00000
     -22.59834       0.00000
     -22.56634       0.00000
     -22.53534       0.00000
     -22.50334       0.00000
     -22.47234       0.00000
     -22.44034       0.00000
     -22.40934       0.00000
     -22.37834       0.00000
     -22.34634       0.00000
     -22.31534       0.00000
     -22.28334       0.00000
     -22.25234       0.00000
     -22.22034       0.00000
     -22.18934       0.00000
     -22.15734       0.00000
     -22.12634       0.00000
     -22.09434       0.00000
     -22.06334       0.00000
     -22.03134       0.00000
     -22.00034       0.00000
     -21.96834       0.00000
     -21.93734       0.00000
     -21.90634       0.00000
     -21.87434       0.00000
     -21.84334       0.00000
     -21.81134       0.00000
     -21.78034       0.00000
     -21.74834       0.00000
     -21.71734       0.00000
     -21.68534       0.00000
     -21.65434       0.00000
     -21.62234       0.00001
     -21.59134       0.00030
     -21.55934       0.00821
     -21.52834       0.10460
     -21.49734       0.62840
     -21.46534       1.80800
     -21.43434       2.75800
     -21.40234       4.05400
     -21.37134       9.16400
     -21.33934      14.46000
     -21.30834      11.36000
     -21.27634       4.29700
     -21.24534       1.16300
     -21.21334       2.52700
     -21.18234       7.26200
     -21.15034      11.08000
     -21.11934      11.67000
     -21.08734      14.25000
     -21.05634      17.46000
     -21.02534      13.49000
     -20.99334       5.44600
     -20.96234       1.14700
     -20.93034       0.89270
     -20.89934       4.44700
     -20.86734      12.30000
     -20.83634      16.69000
     -20.80434      11.03000
     -20.77334       3.52400
     -20.74134       0.53950
     -20.71034       0.05124
     -20.67834       0.21830
     -20.64734       1.83400
     -20.61534       7.36600
     -20.58434      14.39000
     -20.55334      14.94000
     -20.52134      11.06000
     -20.49034       7.94200
     -20.45834       4.30000
     -20.42734       1.29300
     -20.39534       0.27680
     -20.36434       0.84590
     -20.33234       3.90200
     -20.30134       8.86300
     -20.26934      10.55000
     -20.23834       8.41000
     -20.20634       5.93800
     -20.17534       3.76700
     -20.14334       5.31300
     -20.11234      12.35000
     -20.08134      18.24000
     -20.04934      19.35000
     -20.01834      16.85000
     -19.98634       9.47400
     -19.95534       2.80000
     -19.92334       0.79210
     -19.89234       3.04400
     -19.86034      10.90000
     -19.82934      18.92000
     -19.79734      16.10000
     -19.76634       8.13100
     -19.73434       5.43300
     -19.70334       4.68800
     -19.67134       2.36100
     -19.64034       0.57620
     -19.60934       0.06659
     -19.57734       0.00362
     -19.54634       0.00009
     -19.51434       0.00001
     -19.48334       0.00039
     -19.45134       0.01427
     -19.42034       0.24640
     -19.38834       2.00100
     -19.35734       7.69800
     -19.32534      14.19000
     -19.29434      13.42000
     -19.26234       9.88800
     -19.23134      10.22000
     -19.19934       8.49100
     -19.16834       3.78400
     -19.13734       2.11000
     -19.10534       6.21100
     -19.07434      13.15000
     -19.04234      13.40000
     -19.01134       6.50800
     -18.97934       1.50100
     -18.94834       0.16370
     -18.91634       0.00839
     -18.88534       0.00021
     -18.85334       0.00051
     -18.82234       0.01629
     -18.79034       0.24710
     -18.75934       1.76800
     -18.72734       6.05100
     -18.69634      10.42000
     -18.66534      11.49000
     -18.63334      13.95000
     -18.60234      18.92000
     -18.57034      19.32000
     -18.53934      12.09000
     -18.50734       4.66100
     -18.47634       3.24500
     -18.44434       4.76900
     -18.41334       4.36500
     -18.38134       3.75100
     -18.35034       7.99700
     -18.31834      15.48000
     -18.28734      18.39000
     -18.25534      17.70000
     -18.22434      16.37000
     -18.19334      10.08000
     -18.16134       3.19600
     -18.13034       0.48690
     -18.09834       0.03504
     -18.06734       0.00141
     -18.03534       0.00960
     -18.00434       0.18620
     -17.97234       1.74500
     -17.94134       8.13400
     -17.90934      19.77000
     -17.87834      26.44000
     -17.84634      20.52000
     -17.81534      10.07000
     -17.78334       3.68500
     -17.75234       1.04700
     -17.72134       0.26060
     -17.68934       0.65120
     -17.65834       2.49200
     -17.62634       4.66200
     -17.59534       4.38500
     -17.56334       4.10700
     -17.53234      10.96000
     -17.50034      23.18000
     -17.46934      24.79000
     -17.43734      13.68000
     -17.40634       5.30200
     -17.37434       2.79700
     -17.34334       1.38600
     -17.31134       0.37120
     -17.28034       0.04776
     -17.24934       0.00295
     -17.21734       0.00316
     -17.18634       0.07935
     -17.15434       0.96080
     -17.12334       5.49500
     -17.09134      14.99000
     -17.06034      20.30000
     -17.02834      17.34000
     -16.99734      18.57000
     -16.96534      25.29000
     -16.93434      26.70000
     -16.90234      17.81000
     -16.87134       6.51900
     -16.83934       1.20000
     -16.80834       0.10660
     -16.77734       0.00479
     -16.74534       0.01197
     -16.71434       0.21410
     -16.68234       1.81500
     -16.65134       7.28700
     -16.61934      14.04000
     -16.58834      13.77000
     -16.55634       8.93000
     -16.52534       5.96000
     -16.49334       3.30300
     -16.46234       1.00700
     -16.43034       0.14890
     -16.39934       0.01042
     -16.36834       0.00116
     -16.33634       0.02684
     -16.30534       0.42230
     -16.27334       3.24200
     -16.24234      12.46000
     -16.21034      24.65000
     -16.17934      25.55000
     -16.14734      13.90000
     -16.11634       3.90000
     -16.08434       0.54970
     -16.05334       0.03790
     -16.02134       0.00125
     -15.99034       0.00002
     -15.95834       0.00000
     -15.92734       0.00000
     -15.89634       0.00000
     -15.86434       0.00000
     -15.83334       0.00000
