      #Energy        TDOS
     -20.41340       0.00000
     -20.38340       0.00000
     -20.35340       0.00000
     -20.32340       0.00000
     -20.29340       0.00000
     -20.26240       0.00000
     -20.23240       0.00000
     -20.20240       0.00000
     -20.17240       0.00000
     -20.14240       0.00000
     -20.11240       0.00000
     -20.08140       0.00000
     -20.05140       0.00000
     -20.02140       0.00000
     -19.99140       0.00000
     -19.96140       0.00000
     -19.93140       0.00000
     -19.90040       0.00000
     -19.87040       0.00000
     -19.84040       0.00000
     -19.81040       0.00000
     -19.78040       0.00000
     -19.75040       0.00000
     -19.71940       0.00000
     -19.68940       0.00000
     -19.65940       0.00000
     -19.62940       0.00000
     -19.59940       0.00000
     -19.56940       0.00000
     -19.53840       0.00000
     -19.50840       0.00000
     -19.47840       0.00000
     -19.44840       0.00000
     -19.41840       0.00000
     -19.38840       0.00000
     -19.35740       0.00000
     -19.32740       0.00000
     -19.29740       0.00000
     -19.26740       0.00000
     -19.23740       0.00000
     -19.20740       0.00000
     -19.17640       0.00001
     -19.14640       0.00024
     -19.11640       0.00307
     -19.08640       0.02169
     -19.05640       0.08991
     -19.02640       0.23760
     -18.99540       0.44111
     -18.96540       0.64030
     -18.93540       0.80476
     -18.90540       0.94837
     -18.87540       1.11582
     -18.84540       1.37632
     -18.81440       1.77091
     -18.78440       2.23624
     -18.75440       2.64425
     -18.72440       2.94333
     -18.69440       3.18638
     -18.66440       3.42428
     -18.63340       3.66129
     -18.60340       3.89699
     -18.57340       4.15029
     -18.54340       4.44733
     -18.51340       4.78068
     -18.48340       5.08483
     -18.45240       5.29908
     -18.42240       5.43064
     -18.39240       5.52030
     -18.36240       5.59441
     -18.33240       5.66622
     -18.30240       5.75749
     -18.27140       5.90849
     -18.24140       6.14974
     -18.21140       6.47350
     -18.18140       6.84697
     -18.15140       7.21351
     -18.12140       7.51162
     -18.09040       7.73409
     -18.06040       7.92003
     -18.03040       8.10405
     -18.00040       8.30758
     -17.97040       8.55255
     -17.94040       8.86442
     -17.90940       9.24378
     -17.87940       9.63746
     -17.84940       9.98394
     -17.81940      10.27339
     -17.78940      10.53084
     -17.75940      10.77912
     -17.72840      11.03227
     -17.69840      11.29223
     -17.66840      11.54174
     -17.63840      11.76110
     -17.60840      11.96283
     -17.57840      12.20268
     -17.54740      12.54163
     -17.51740      12.97830
     -17.48740      13.42402
     -17.45740      13.75932
     -17.42740      13.93179
     -17.39740      13.98779
     -17.36640      13.99848
     -17.33640      13.99962
     -17.30640      13.99978
     -17.27640      14.00116
     -17.24640      14.01205
     -17.21640      14.05998
     -17.18540      14.18380
     -17.15540      14.38515
     -17.12540      14.61083
     -17.09540      14.81024
     -17.06540      14.97541
     -17.03540      15.12207
     -17.00440      15.26898
     -16.97440      15.44235
     -16.94440      15.67819
     -16.91440      15.97458
     -16.88440      16.25787
     -16.85440      16.46408
     -16.82340      16.60643
     -16.79340      16.72572
     -16.76340      16.84187
     -16.73340      16.95809
     -16.70340      17.07343
     -16.67240      17.18928
     -16.64240      17.31826
     -16.61240      17.49385
     -16.58240      17.75133
     -16.55240      18.08739
     -16.52240      18.46479
     -16.49140      18.84445
     -16.46140      19.19620
     -16.43140      19.50490
     -16.40140      19.77018
     -16.37140      20.00140
     -16.34140      20.21882
     -16.31040      20.45699
     -16.28040      20.75359
     -16.25040      21.10776
     -16.22040      21.47279
     -16.19040      21.81956
     -16.16040      22.16257
     -16.12940      22.51009
     -16.09940      22.83817
     -16.06940      23.12230
     -16.03940      23.36803
     -16.00940      23.59229
     -15.97940      23.79533
     -15.94840      23.97706
     -15.91840      24.15492
     -15.88840      24.35076
     -15.85840      24.57587
     -15.82840      24.82658
     -15.79840      25.08775
     -15.76740      25.34819
     -15.73740      25.60487
     -15.70740      25.84413
     -15.67740      26.04875
     -15.64740      26.22566
     -15.61740      26.40194
     -15.58640      26.60509
     -15.55640      26.85089
     -15.52640      27.13131
     -15.49640      27.41496
     -15.46640      27.68066
     -15.43640      27.94843
     -15.40540      28.26062
     -15.37540      28.62685
     -15.34540      29.00108
     -15.31540      29.32974
     -15.28540      29.59372
     -15.25540      29.79978
     -15.22440      29.96770
     -15.19440      30.11957
     -15.16440      30.26966
     -15.13440      30.43242
     -15.10440      30.63973
     -15.07440      30.92754
     -15.04340      31.28472
     -15.01340      31.65503
     -14.98340      32.00165
     -14.95340      32.33757
     -14.92340      32.70953
     -14.89340      33.14938
     -14.86240      33.63115
     -14.83240      34.09950
     -14.80240      34.51853
     -14.77240      34.86952
     -14.74240      35.13844
     -14.71240      35.33303
     -14.68140      35.48569
     -14.65140      35.62668
     -14.62140      35.77391
     -14.59140      35.95059
     -14.56140      36.19825
     -14.53140      36.53715
     -14.50040      36.90761
     -14.47040      37.21779
     -14.44040      37.43403
     -14.41040      37.57371
     -14.38040      37.66603
     -14.35040      37.73791
     -14.31940      37.80580
     -14.28940      37.87790
     -14.25940      37.96249
     -14.22940      38.07023
     -14.19940      38.19995
     -14.16940      38.32917
     -14.13840      38.43754
     -14.10840      38.52617
     -14.07840      38.60448
     -14.04840      38.67761
     -14.01840      38.74791
     -13.98840      38.81695
     -13.95740      38.88558
     -13.92740      38.95432
     -13.89740      39.02354
     -13.86740      39.09365
     -13.83740      39.16600
     -13.80740      39.24569
     -13.77640      39.34419
     -13.74640      39.47696
     -13.71640      39.65752
     -13.68640      39.88740
     -13.65640      40.15370
     -13.62640      40.45319
     -13.59540      40.79650
     -13.56540      41.16771
     -13.53540      41.52579
     -13.50540      41.86563
     -13.47540      42.24272
     -13.44540      42.71485
     -13.41440      43.24971
     -13.38440      43.73632
     -13.35440      44.11341
     -13.32440      44.41569
     -13.29440      44.70348
     -13.26440      45.01632
     -13.23340      45.36838
     -13.20340      45.74185
     -13.17340      46.10748
     -13.14340      46.46164
     -13.11340      46.80691
     -13.08340      47.12439
     -13.05240      47.40178
     -13.02240      47.65569
     -12.99240      47.90801
     -12.96240      48.15956
     -12.93240      48.40450
     -12.90240      48.66585
     -12.87140      48.97773
     -12.84140      49.32662
     -12.81140      49.66857
     -12.78140      49.99091
     -12.75140      50.29314
     -12.72140      50.55030
     -12.69040      50.73956
     -12.66040      50.86904
     -12.63040      50.96811
     -12.60040      51.06442
     -12.57040      51.17655
     -12.54040      51.32328
     -12.50940      51.52278
     -12.47940      51.77178
     -12.44940      52.03984
     -12.41940      52.28888
     -12.38940      52.49235
     -12.35940      52.64967
     -12.32840      52.78505
     -12.29840      52.93168
     -12.26840      53.11208
     -12.23840      53.30998
     -12.20840      53.48333
     -12.17840      53.62123
     -12.14740      53.74683
     -12.11740      53.87375
     -12.08740      53.99980
     -12.05740      54.13415
     -12.02740      54.31998
     -11.99740      54.61555
     -11.96640      55.01617
     -11.93640      55.43656
     -11.90640      55.81425
     -11.87640      56.17490
     -11.84640      56.57779
     -11.81640      57.02940
     -11.78540      57.47030
     -11.75540      57.85237
     -11.72540      58.18361
     -11.69540      58.48091
     -11.66540      58.73614
     -11.63540      58.93481
     -11.60440      59.07656
     -11.57440      59.18008
     -11.54440      59.26893
     -11.51440      59.35511
     -11.48440      59.44016
     -11.45440      59.52333
     -11.42340      59.60743
     -11.39340      59.70500
     -11.36340      59.84034
     -11.33340      60.03578
     -11.30340      60.29631
     -11.27340      60.60494
     -11.24240      60.92607
     -11.21240      61.23435
     -11.18240      61.54097
     -11.15240      61.88428
     -11.12240      62.29606
     -11.09240      62.75054
     -11.06140      63.16987
     -11.03140      63.50350
     -11.00140      63.76026
     -10.97140      63.97059
     -10.94140      64.15323
     -10.91140      64.31778
     -10.88040      64.48066
     -10.85040      64.66130
     -10.82040      64.87060
     -10.79040      65.10613
     -10.76040      65.34480
     -10.73040      65.55598
     -10.69940      65.73712
     -10.66940      65.91507
     -10.63940      66.11349
     -10.60940      66.34086
     -10.57940      66.60615
     -10.54940      66.91678
     -10.51840      67.25345
     -10.48840      67.59766
     -10.45840      67.97958
     -10.42840      68.43104
     -10.39840      68.90527
     -10.36740      69.30333
     -10.33740      69.58475
     -10.30740      69.79898
     -10.27740      70.00863
     -10.24740      70.22810
     -10.21740      70.43110
     -10.18640      70.60400
     -10.15640      70.77931
     -10.12640      70.98799
     -10.09640      71.20609
     -10.06640      71.40000
     -10.03640      71.58598
     -10.00540      71.79765
      -9.97540      72.02089
      -9.94540      72.20718
      -9.91540      72.34252
