      #Energy        TDOS
     -20.57707       0.00000
     -20.54707       0.00000
     -20.51707       0.00000
     -20.48607       0.00000
     -20.45607       0.00000
     -20.42607       0.00000
     -20.39607       0.00000
     -20.36607       0.00000
     -20.33607       0.00000
     -20.30507       0.00000
     -20.27507       0.00000
     -20.24507       0.00000
     -20.21507       0.00000
     -20.18507       0.00000
     -20.15507       0.00000
     -20.12407       0.00000
     -20.09407       0.00000
     -20.06407       0.00000
     -20.03407       0.00000
     -20.00407       0.00000
     -19.97407       0.00000
     -19.94307       0.00000
     -19.91307       0.00000
     -19.88307       0.00000
     -19.85307       0.00000
     -19.82307       0.00000
     -19.79307       0.00000
     -19.76207       0.00000
     -19.73207       0.00000
     -19.70207       0.00000
     -19.67207       0.00000
     -19.64207       0.00000
     -19.61207       0.00000
     -19.58107       0.00000
     -19.55107       0.00000
     -19.52107       0.00000
     -19.49107       0.00000
     -19.46107       0.00000
     -19.43107       0.00000
     -19.40007       0.00000
     -19.37007       0.00002
     -19.34007       0.00075
     -19.31007       0.01732
     -19.28007       0.20500
     -19.24907       1.25800
     -19.21907       4.11600
     -19.18907       7.55900
     -19.15907       8.71900
     -19.12907       8.21600
     -19.09907       9.46900
     -19.06807      13.58000
     -19.03807      17.36000
     -19.00807      16.40000
     -18.97807      11.98000
     -18.94807       9.72800
     -18.91807      10.10000
     -18.88707      10.33000
     -18.85707      10.48000
     -18.82707      11.70000
     -18.79707      12.62000
     -18.76707      10.80000
     -18.73707       7.85800
     -18.70607       7.62400
     -18.67607      10.03000
     -18.64607      12.37000
     -18.61607      13.71000
     -18.58607      13.39000
     -18.55607      11.82000
     -18.52507      12.64000
     -18.49507      16.50000
     -18.46507      19.19000
     -18.43507      17.96000
     -18.40507      14.53000
     -18.37507      11.83000
     -18.34407      10.88000
     -18.31407      10.95000
     -18.28407      10.91000
     -18.25407      10.69000
     -18.22407      11.83000
     -18.19307      14.76000
     -18.16307      17.15000
     -18.13307      16.13000
     -18.10307      10.82000
     -18.07307       4.55300
     -18.04307       1.09800
     -18.01207       0.16060
     -17.98207       0.20910
     -17.95207       1.26400
     -17.92207       4.50300
     -17.89207       9.60400
     -17.86207      13.56000
     -17.83107      14.50000
     -17.80107      13.58000
     -17.77107      12.05000
     -17.74107       9.77300
     -17.71107       7.51200
     -17.68107       6.46100
     -17.65007       6.51400
     -17.62007       8.33900
     -17.59007      13.26000
     -17.56007      19.13000
     -17.53007      21.48000
     -17.50007      19.19000
     -17.46907      14.93000
     -17.43907      12.30000
     -17.40907      12.03000
     -17.37907      12.52000
     -17.34907      13.32000
     -17.31907      14.52000
     -17.28807      14.98000
     -17.25807      14.44000
     -17.22807      13.72000
     -17.19807      12.16000
     -17.16807       9.47100
     -17.13807       7.27000
     -17.10707       6.37200
     -17.07707       6.30600
     -17.04707       6.74400
     -17.01707       7.29600
     -16.98707       7.05900
     -16.95607       6.02700
     -16.92607       5.55400
     -16.89607       6.47500
     -16.86607       8.23800
     -16.83607       9.40100
     -16.80607       9.40200
     -16.77507       9.13600
     -16.74507       9.10700
     -16.71507       8.88500
     -16.68507       8.61800
     -16.65507       9.74600
     -16.62507      12.44000
     -16.59407      13.79000
     -16.56407      12.42000
     -16.53407      11.88000
     -16.50407      14.12000
     -16.47407      15.62000
     -16.44407      14.55000
     -16.41307      13.22000
     -16.38307      12.44000
     -16.35307      11.10000
     -16.32307       9.55500
     -16.29307       9.40000
     -16.26307      10.76000
     -16.23207      12.19000
     -16.20207      13.45000
     -16.17207      15.57000
     -16.14207      17.47000
     -16.11207      16.96000
     -16.08207      14.74000
     -16.05107      12.56000
     -16.02107      10.84000
     -15.99107       9.81300
     -15.96107       9.36900
     -15.93107       9.33100
     -15.90007      10.02000
     -15.87007      12.01000
     -15.84007      14.98000
     -15.81007      16.75000
     -15.78007      14.91000
     -15.75007      10.89000
     -15.71907       8.12600
     -15.68907       6.97900
     -15.65907       6.39600
     -15.62907       6.31200
     -15.59907       6.64900
     -15.56907       7.10700
     -15.53807       8.07200
     -15.50807       9.71200
     -15.47807      11.37000
     -15.44807      13.55000
     -15.41807      17.39000
     -15.38807      20.49000
